GEOID2,Median household income (State)
01,50536
02,77640
04,58945
05,47597
06,75235
08,72331
09,78444
10,68287
11,86420
12,55660
13,58700
15,81275
16,55785
17,65886
18,56303
19,60523
20,59597
21,50589
22,49469
23,57918
24,84805
25,81215
26,57144
27,71306
28,45081
29,55461
30,54970
31,61439
32,60365
33,76768
34,82545
35,49754
36,68486
37,54602
38,64894
39,56602
40,52919
41,62818
42,61744
44,67167
45,53199
46,58275
47,53320
48,61874
49,71621
50,61973
51,74222
53,73775
54,46711
55,61747
56,64049
72,20539
