city,holc_id,HOLC Grade (manually mapped)
Providence,25,D
Providence,26,D
Oklahoma City,46R,D
Oklahoma City,47R,D
Oklahoma City,48R,D
Oklahoma City,49R,D
Oklahoma City,50R,D
Oklahoma City,51R,D
Oklahoma City,52R,D
Oklahoma City,53R,D
Oklahoma City,54R,D
Oklahoma City,55R,D
Oklahoma City,56R,D
Oklahoma City,57R,D
Oklahoma City,58R,D
Oklahoma City,59R,D
Oklahoma City,60R,D
Oklahoma City,61R,D
Oklahoma City,62B,D
Oklahoma City,63R,D
Oklahoma City,64R,D
Oklahoma City,65R,D
Oklahoma City,66R,D
Oklahoma City,67R,D
Oklahoma City,68R,D
Oklahoma City,69R,D
Oklahoma City,70R,D
Oklahoma City,80R,D
Oklahoma City,81R,D
Oklahoma City,85R,D
Oklahoma City,86R,D
Oklahoma City,87R,D
Oklahoma City,88R,D
Oklahoma City,89R,D
Oklahoma City,90R,D
Milwaukee Co.,S-D1,D
Milwaukee Co.,S-D2,D
Milwaukee Co.,S-D3,D
Milwaukee Co.,S-D4,D
